recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,primarily_steam_deck
208422304,"{'steamid': '76561199055910088', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 14439, 'playtime_last_two_weeks': 131, 'playtime_at_review': 14408, 'last_played': 1762289553}",english,Good game.,1762287561,1762287561,True,0,0,0.5,0,False,False,False,False
208422013,"{'steamid': '76561199861757913', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 3591, 'playtime_last_two_weeks': 957, 'playtime_at_review': 3591, 'last_played': 1762288864}",english,<3,1762287323,1762287323,True,0,0,0.5,0,False,False,False,False
208421834,"{'steamid': '76561199538229970', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 1007, 'playtime_last_two_weeks': 153, 'playtime_at_review': 1007, 'last_played': 1762287069}",english,yes.,1762287186,1762287186,True,0,0,0.5,0,False,False,False,False
208415054,"{'steamid': '76561199021684601', 'num_games_owned': 48, 'num_reviews': 17, 'playtime_forever': 66, 'playtime_last_two_weeks': 0, 'playtime_at_review': 66, 'last_played': 1696637695}",english,"Game is pretty fun to play and it gets sweaty as you rank up. good to play with friends and a good smash brothers alternative. Can get a little stale after a while though, just a fighting game with micro-transactions for skins but that's fair for a free game. Have a lot more hours on my old steam account and Playstation but I don't play it anymore; it's a decent pick up though.",1762282248,1762282248,True,0,0,0.5,0,False,False,False,False
208403153,"{'steamid': '76561199055868688', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 16049, 'playtime_last_two_weeks': 946, 'playtime_at_review': 15962, 'last_played': 1762281017}",english,"woww amazing gammemeeee

ohhhhahhh",1762274080,1762274080,True,0,0,0.5,0,False,False,False,False
208401929,"{'steamid': '76561199229876550', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 8772, 'playtime_last_two_weeks': 1586, 'playtime_at_review': 8761, 'last_played': 1762274060}",english,this game is good.Downsides are rage broken equipment lance spam red raptor as a character and its genuinely a terrible time,1762273225,1762273225,True,0,0,0.5,0,False,True,False,False
208401658,"{'steamid': '76561199048840852', 'num_games_owned': 70, 'num_reviews': 1, 'playtime_forever': 42683, 'playtime_last_two_weeks': 697, 'playtime_at_review': 42649, 'last_played': 1762276504}",english,700h and im still low plat,1762273034,1762273034,True,0,0,0.5,0,False,False,False,False
208393118,"{'steamid': '76561199071575490', 'num_games_owned': 0, 'num_reviews': 3, 'playtime_forever': 44483, 'playtime_last_two_weeks': 4288, 'playtime_at_review': 44094, 'last_played': 1762289210}",english,its nice,1762265835,1762265835,True,0,0,0.5,0,False,False,False,False
208392879,"{'steamid': '76561199848038637', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 12800, 'playtime_last_two_weeks': 1452, 'playtime_at_review': 12682, 'last_played': 1762284519}",english,whaat,1762265594,1762265594,True,0,0,0.5,0,False,False,False,False
208390753,"{'steamid': '76561198286435697', 'num_games_owned': 0, 'num_reviews': 4, 'playtime_forever': 31, 'playtime_last_two_weeks': 0, 'playtime_at_review': 31, 'last_played': 1758167947}",english,sd,1762263508,1762263508,True,0,0,0.5,0,False,False,False,False
208386293,"{'steamid': '76561199493072655', 'num_games_owned': 18, 'num_reviews': 6, 'playtime_forever': 2856, 'playtime_last_two_weeks': 620, 'playtime_at_review': 2828, 'last_played': 1762261254}",english,"if u wana farm aura just gopro in ts game
",1762258763,1762258763,True,0,0,0.5,0,False,False,False,False
208385555,"{'steamid': '76561198298731305', 'num_games_owned': 158, 'num_reviews': 80, 'playtime_forever': 1928, 'playtime_last_two_weeks': 517, 'playtime_at_review': 1899, 'last_played': 1762259560}",english,"so i did the brawl part, when do we start halaing?",1762257831,1762257831,True,0,0,0.5,0,False,False,False,False
208377419,"{'steamid': '76561199584291448', 'num_games_owned': 5, 'num_reviews': 1, 'playtime_forever': 19372, 'playtime_last_two_weeks': 400, 'playtime_at_review': 19230, 'last_played': 1762274446}",english,good game,1762246411,1762246411,True,0,0,0.5,0,False,True,False,False
208371083,"{'steamid': '76561199207970183', 'num_games_owned': 145, 'num_reviews': 9, 'playtime_forever': 11112, 'playtime_last_two_weeks': 829, 'playtime_at_review': 11112, 'last_played': 1762222409}",english,it's only a little bit of heart ache,1762235944,1762235944,True,0,0,0.5,0,False,False,False,False
208368082,"{'steamid': '76561199852892690', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 14413, 'playtime_last_two_weeks': 4900, 'playtime_at_review': 14308, 'last_played': 1762240405}",english,"Its a okay game
",1762231092,1762231092,True,0,0,0.5,0,False,False,False,False
208365380,"{'steamid': '76561198853180951', 'num_games_owned': 0, 'num_reviews': 22, 'playtime_forever': 6680, 'playtime_last_two_weeks': 2965, 'playtime_at_review': 6624, 'last_played': 1762275474}",english,ok,1762227037,1762227037,True,0,0,0.5,0,False,False,False,False
208364743,"{'steamid': '76561199172386585', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 16918, 'playtime_last_two_weeks': 1780, 'playtime_at_review': 16801, 'last_played': 1762238593}",english,Vrax Blaster dsig :) !!,1762226174,1762226174,True,0,0,0.5,0,False,False,False,False
208361303,"{'steamid': '76561199239766310', 'num_games_owned': 0, 'num_reviews': 20, 'playtime_forever': 1286, 'playtime_last_two_weeks': 1049, 'playtime_at_review': 1156, 'last_played': 1762229357}",english,yes...,1762221529,1762221529,True,0,0,0.5,0,False,False,False,False
208356891,"{'steamid': '76561198791889036', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 8464, 'playtime_last_two_weeks': 2599, 'playtime_at_review': 8464, 'last_played': 1761628775}",english,cool game,1762215894,1762215894,True,0,0,0.5,0,False,False,False,False
208348958,"{'steamid': '76561199584010608', 'num_games_owned': 7, 'num_reviews': 5, 'playtime_forever': 2298, 'playtime_last_two_weeks': 311, 'playtime_at_review': 2249, 'last_played': 1762210090}",english,"it cool
",1762207157,1762207157,True,0,0,0.5,0,False,False,False,False
208348074,"{'steamid': '76561199521778431', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 20601, 'playtime_last_two_weeks': 1614, 'playtime_at_review': 20006, 'last_played': 1762243050}",english,k,1762206283,1762206283,True,0,0,0.5,0,False,False,False,False
208340909,"{'steamid': '76561199201720069', 'num_games_owned': 18, 'num_reviews': 1, 'playtime_forever': 21559, 'playtime_last_two_weeks': 0, 'playtime_at_review': 21559, 'last_played': 1749906825}",english,"If you are a masochist, play this game.",1762199849,1762199849,True,0,0,0.5,0,False,False,False,False
208338639,"{'steamid': '76561199467815586', 'num_games_owned': 20, 'num_reviews': 5, 'playtime_forever': 7946, 'playtime_last_two_weeks': 1062, 'playtime_at_review': 7916, 'last_played': 1762285229}",english,"There is this really useful button, its called ""uninstall game"", press that to triple your fps!",1762197956,1762197956,True,0,0,0.5,0,False,True,False,False
208334487,"{'steamid': '76561199583539786', 'num_games_owned': 4, 'num_reviews': 1, 'playtime_forever': 4626, 'playtime_last_two_weeks': 512, 'playtime_at_review': 4546, 'last_played': 1762281314}",english,FUNNY GAME,1762194376,1762194376,True,0,0,0.5,0,False,False,False,False
208322867,"{'steamid': '76561198128884653', 'num_games_owned': 0, 'num_reviews': 14, 'playtime_forever': 2119, 'playtime_last_two_weeks': 646, 'playtime_at_review': 1973, 'last_played': 1762266855}",english,fun,1762184262,1762184262,True,0,0,0.5,0,False,False,False,False
208321586,"{'steamid': '76561199104375955', 'num_games_owned': 33, 'num_reviews': 1, 'playtime_forever': 1165, 'playtime_last_two_weeks': 1165, 'playtime_at_review': 1165, 'last_played': 1761613701}",english,"Play this if you never wanna go outside again.

Overall great game👍",1762183144,1762183144,True,1,0,0.523809552192687988,0,False,False,False,False
208317344,"{'steamid': '76561198415142595', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 1503, 'playtime_last_two_weeks': 938, 'playtime_at_review': 1377, 'last_played': 1762273135}",english,"lovely game
",1762179404,1762179404,True,0,0,0.5,0,False,False,False,False
208316307,"{'steamid': '76561198854804532', 'num_games_owned': 47, 'num_reviews': 4, 'playtime_forever': 8090, 'playtime_last_two_weeks': 1042, 'playtime_at_review': 8017, 'last_played': 1762187882}",english,dangerous,1762178454,1762178454,True,0,0,0.5,0,False,False,False,False
208310808,"{'steamid': '76561198073192119', 'num_games_owned': 459, 'num_reviews': 32, 'playtime_forever': 43425, 'playtime_last_two_weeks': 52, 'playtime_at_review': 43425, 'last_played': 1761916907}",english,"Brawlhalla is that weird mix of “this is kinda fun” and “why am I still playing this.” I’ve dumped more than 700 hours into it to know the combat can be satisfying when you land a slick combo or spike someone into the void. But there’s no denying the BIG downsides.

A lot of the characters feel like copy-pastes with different skins. Not the variety the game tries to sell you. And while it’s free-to-play, some of the more appealing stuff definitely feels locked behind a “spend money or stay basic” wall. Say what you want, but the Paytolookgood energy is strong here.

And don’t even get me started on the lag. One second you’re mid-string, the next you’re teleporting into the blast zone like you just got snapped out of reality. It’s just not stable enough sometimes.

Still, it has that “one more match” pull! you’ll quit in rage, cool off, and somehow… launch it again. Not perfect, not even close, but it scratches a certain itch.",1762172807,1762172807,True,0,0,0.5,0,False,False,False,False
208305868,"{'steamid': '76561199325848078', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 8584, 'playtime_last_two_weeks': 22, 'playtime_at_review': 8579, 'last_played': 1762167031}",english,n,1762166726,1762166726,True,0,0,0.5,0,False,False,False,False
208300579,"{'steamid': '76561199643713565', 'num_games_owned': 35, 'num_reviews': 1, 'playtime_forever': 7157, 'playtime_last_two_weeks': 1281, 'playtime_at_review': 6809, 'last_played': 1762268524}",english,"This game made me a great guy in real life, I started to have empathy towards every living being, I have no enemies now...
This game helped me to get my sanity back, Brawlhalla is the one good thing that happened in my life .... I have 100+ hours in this game, if you still believe everything i said...then you are a miserable sig spamming no life no wife bitch.",1762158961,1762158961,True,3,1,0.563492059707641602,0,False,False,False,False
208300048,"{'steamid': '76561199227833966', 'num_games_owned': 22, 'num_reviews': 5, 'playtime_forever': 11168, 'playtime_last_two_weeks': 1571, 'playtime_at_review': 10365, 'last_played': 1762289610}",english,"played since 2018, peak fighting game ngl
",1762158145,1762158145,True,0,0,0.5,0,False,False,False,False
208294031,"{'steamid': '76561199412217522', 'num_games_owned': 131, 'num_reviews': 5, 'playtime_forever': 9562, 'playtime_last_two_weeks': 2258, 'playtime_at_review': 9182, 'last_played': 1762275541}",english,"My friend says two light attack and then start spamming sig is that how we play.......................

hahahahaha sigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsigsig


peak mental illness definitely recommended...................................sigsigsigsigsigsigsigsigsigsigsigsigsigsig",1762148352,1762148352,True,2,0,0.540636062622070312,0,False,False,False,False
208290901,"{'steamid': '76561198792843008', 'num_games_owned': 7, 'num_reviews': 1, 'playtime_forever': 4129, 'playtime_last_two_weeks': 756, 'playtime_at_review': 4090, 'last_played': 1762193357}",english,Goated game,1762143636,1762143636,True,1,0,0.523809552192687988,0,False,False,False,False
