recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,primarily_steam_deck
208209970,"{'steamid': '76561198800737818', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 4878, 'playtime_last_two_weeks': 3076, 'playtime_at_review': 3847, 'last_played': 1762215411}",portuguese,Muito bom,1762075466,1762075466,True,0,0,0.5,0,True,False,False,False
207800112,"{'steamid': '76561198802143725', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 47911, 'playtime_last_two_weeks': 1810, 'playtime_at_review': 47347, 'last_played': 1762200074}",portuguese,perfect,1761667697,1761667697,True,0,0,0.5,0,True,False,False,False
207371822,"{'steamid': '76561199193026267', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 8483, 'playtime_last_two_weeks': 0, 'playtime_at_review': 8483, 'last_played': 1760895120}",portuguese,"gostei, um novo vicio :>",1761210526,1761210526,True,0,0,0.5,0,True,True,False,False
207337147,"{'steamid': '76561198338661333', 'num_games_owned': 21, 'num_reviews': 8, 'playtime_forever': 3407, 'playtime_last_two_weeks': 189, 'playtime_at_review': 3366, 'last_played': 1761256425}",portuguese,brutal,1761163508,1761163508,True,0,0,0.5,0,True,False,False,False
207336546,"{'steamid': '76561198407819180', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 2682, 'playtime_last_two_weeks': 989, 'playtime_at_review': 1897, 'last_played': 1762203680}",portuguese,Muito fixe e chill para passar o tempo,1761162975,1761162975,True,0,0,0.5,0,True,False,False,False
207207452,"{'steamid': '76561198965474689', 'num_games_owned': 20, 'num_reviews': 1, 'playtime_forever': 270, 'playtime_last_two_weeks': 0, 'playtime_at_review': 269, 'last_played': 1761007966}",portuguese,Um bom jogo para relaxar,1761007926,1761007926,True,0,0,0.5,0,True,False,False,False
206776471,"{'steamid': '76561199402392276', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 16408, 'playtime_last_two_weeks': 1223, 'playtime_at_review': 14058, 'last_played': 1761579891}",portuguese,cozy e bom,1760528845,1760528845,True,0,0,0.5,0,True,False,False,False
206628707,"{'steamid': '76561198324296157', 'num_games_owned': 50, 'num_reviews': 18, 'playtime_forever': 771, 'playtime_last_two_weeks': 0, 'playtime_at_review': 602, 'last_played': 1760533537}",portuguese,"fiquei surpeendido , é bom para passar o tempo casual , só o preço é que não é o mais ajustável mas pronto tudo okay",1760358139,1760358139,True,0,0,0.5,0,True,False,False,False
206285901,"{'steamid': '76561199825324180', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 3431, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2665, 'last_played': 1760638840}",portuguese,"Simplesmente: COMPRA ESTA MARAVILHA AGORA! E serio o jogo  perfeito, lindo , magnifico, sem defeitos, inespilcavel, E MUITAS MAIS COISAS! Eu sempre adorei jogos de fazenda mas ate meus amigos que não gostam de jogo de fazenda adoraram o jogo! e perfeito! E SERIO EU NÃO ESTOU A BRINCAR ESSE JOGO E PERFEITO!",1760040094,1760040094,True,0,0,0.5,0,True,False,False,False
205636158,"{'steamid': '76561199234315057', 'num_games_owned': 41, 'num_reviews': 6, 'playtime_forever': 3599, 'playtime_last_two_weeks': 0, 'playtime_at_review': 3599, 'last_played': 1759342309}",portuguese,"legal
",1759342319,1759342319,True,0,0,0.5,0,True,False,False,False
205615720,"{'steamid': '76561199879973829', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 1367, 'playtime_last_two_weeks': 32, 'playtime_at_review': 1178, 'last_played': 1761999863}",portuguese,muito top,1759324045,1759324045,True,0,0,0.5,0,True,False,False,False
205539468,"{'steamid': '76561198934180406', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 579, 'playtime_last_two_weeks': 0, 'playtime_at_review': 242, 'last_played': 1759649266}",portuguese,The game is very cool!,1759236043,1759236043,True,0,0,0.5,0,True,False,False,False
